Begin,End,Activity,HRmean,HRmax,HRmin
2020-01-06T13:58:00.000Z,2020-01-06T14:03:00.000Z,Walking,101,105,98
2020-01-06T14:06:00.000Z,2020-01-06T14:18:00.000Z,Walking,63,63,63
2020-01-06T14:06:00.000Z,2020-01-06T14:30:00.000Z,Running,77,96,48
2020-01-06T16:33:00.000Z,2020-01-06T16:39:00.000Z,Walking,100,105,96
2020-01-06T16:51:00.000Z,2020-01-06T17:02:00.000Z,Walking,95,95,95
2020-01-06T18:08:00.000Z,2020-01-06T18:16:00.000Z,Walking,120,141,87
2020-01-06T18:17:00.000Z,2020-01-06T18:23:00.000Z,Walking,92,105,83
2020-01-06T19:48:00.000Z,2020-01-06T19:54:00.000Z,Running,79,84,75
2020-01-06T19:55:00.000Z,2020-01-06T20:01:00.000Z,Walking,99,116,80
2020-01-06T20:02:00.000Z,2020-01-06T20:08:00.000Z,Walking,110,121,100
2020-01-07T07:57:00.000Z,2020-01-07T08:17:00.000Z,Walking,null
2020-01-07T08:18:00.000Z,2020-01-07T08:23:00.000Z,Walking,null
2020-01-07T08:39:00.000Z,2020-01-07T08:48:00.000Z,Walking,null
2020-01-07T10:56:00.000Z,2020-01-07T11:03:00.000Z,Walking,null
2020-01-07T12:02:00.000Z,2020-01-07T12:10:00.000Z,Walking,null
2020-01-07T12:37:00.000Z,2020-01-07T12:58:00.000Z,Walking,null
2020-01-07T13:52:00.000Z,2020-01-07T13:59:00.000Z,Walking,101,119,84
2020-01-07T14:00:00.000Z,2020-01-07T14:10:00.000Z,Walking,null
2020-01-07T16:54:00.000Z,2020-01-07T16:58:00.000Z,Walking,77,77,77
2020-01-07T18:09:00.000Z,2020-01-07T18:18:00.000Z,Walking,92,112,80
2020-01-07T18:46:00.000Z,2020-01-07T19:05:00.000Z,Walking,98,127,71
2020-01-07T19:23:00.000Z,2020-01-07T19:29:00.000Z,Walking,110,118,88
2020-01-08T09:27:00.000Z,2020-01-08T09:35:00.000Z,Walking,109,128,96
2020-01-08T09:36:00.000Z,2020-01-08T09:41:00.000Z,Walking,112,125,93
2020-01-08T11:59:00.000Z,2020-01-08T12:04:00.000Z,Walking,91,96,83
2020-01-08T12:29:00.000Z,2020-01-08T12:36:00.000Z,Walking,107,119,86
2020-01-09T09:01:00.000Z,2020-01-09T09:15:00.000Z,Walking,89,97,81
2020-01-09T09:16:00.000Z,2020-01-09T09:20:00.000Z,Walking,null
2020-01-09T09:21:00.000Z,2020-01-09T09:37:00.000Z,Walking,80,116,71
2020-01-09T11:52:00.000Z,2020-01-09T11:57:00.000Z,Walking,113,123,104
2020-01-10T09:00:00.000Z,2020-01-10T09:06:00.000Z,Walking,96,96,96
2020-01-10T09:16:00.000Z,2020-01-10T09:21:00.000Z,Walking,null
2020-01-10T12:25:00.000Z,2020-01-10T12:31:00.000Z,Walking,94,110,79
2020-01-10T13:01:00.000Z,2020-01-10T13:08:00.000Z,Walking,109,115,104
2020-01-10T13:09:00.000Z,2020-01-10T13:14:00.000Z,Walking,78,86,69
2020-01-10T14:42:00.000Z,2020-01-10T14:52:00.000Z,Walking,82,94,75
2020-01-10T15:34:00.000Z,2020-01-10T15:42:00.000Z,Walking,94,103,87
2020-01-11T15:55:00.000Z,2020-01-11T16:23:00.000Z,Running,null
2020-01-11T19:41:00.000Z,2020-01-11T19:47:00.000Z,Running,83,88,79
