Begin,End,Activity,HRmean,HRmax,HRmin
2022-01-30T09:45:00.000Z, 2022-01-30T09:49:00.000Z, Other,73, 81, 70, 
2022-01-30T12:40:00.000Z, 2022-01-30T12:52:00.000Z, Other,78, 96, 62, 
2022-01-30T13:45:00.000Z, 2022-01-30T13:49:00.000Z, Walking,107, 109, 101, 
2022-01-30T14:22:00.000Z, 2022-01-30T14:30:00.000Z, Walking,99, 111, 82, 
2022-01-31T10:24:00.000Z, 2022-01-31T10:30:00.000Z, Walking,84, 109, 75, 
2022-01-31T11:31:00.000Z, 2022-01-31T11:45:00.000Z, Walking,84, 99, 74, 
2022-01-31T12:28:00.000Z, 2022-01-31T12:42:00.000Z, Walking,87, 111, 73, 
2022-01-31T15:47:00.000Z, 2022-01-31T16:00:00.000Z, Walking,99, 118, 79, 
2022-01-31T16:01:00.000Z, 2022-01-31T16:05:00.000Z, Walking,91, 93, 90, 
2022-01-31T16:06:00.000Z, 2022-01-31T16:13:00.000Z, Walking,91, 104, 82, 
2022-01-31T16:14:00.000Z, 2022-01-31T16:29:00.000Z, Walking,99, 123, 67, 
2022-01-31T17:02:00.000Z, 2022-01-31T17:08:00.000Z, Walking,81, 86, 79, 
2022-01-31T18:50:00.000Z, 2022-01-31T19:10:00.000Z, Other,85, 100, 74, 
2022-01-31T20:49:00.000Z, 2022-01-31T21:06:00.000Z, Other,92, 113, 78, 
2022-01-31T21:50:00.000Z, 2022-01-31T21:55:00.000Z, Walking,94, 102, 79, 
2022-02-01T08:01:00.000Z, 2022-02-01T08:09:00.000Z, Walking,85, 102, 75, 
2022-02-01T08:10:00.000Z, 2022-02-01T08:15:00.000Z, Walking,94, 112, 87, 
2022-02-01T10:21:00.000Z, 2022-02-01T10:27:00.000Z, Walking,110, 120, 93, 
2022-02-01T10:28:00.000Z, 2022-02-01T10:38:00.000Z, Walking,111, 128, 85, 
2022-02-01T10:39:00.000Z, 2022-02-01T10:43:00.000Z, Walking,88, 114, 79, 
