Begin,End,Activity,HRmean,HRmax,HRmin
2020-01-07T23:55:00.000Z, 2020-01-08T00:56:00.000Z, Light sleep, 60, 75, 53, 
2020-01-08T00:56:00.000Z, 2020-01-08T01:23:00.000Z, Deep sleep, 54, 57, 53, 
2020-01-08T01:23:00.000Z, 2020-01-08T01:54:00.000Z, Light sleep, 61, 92, 52, 
2020-01-08T01:54:00.000Z, 2020-01-08T02:37:00.000Z, Deep sleep, 52, 56, 48, 
2020-01-08T02:37:00.000Z, 2020-01-08T02:49:00.000Z, Light sleep, 64, 94, 49, 
2020-01-08T02:49:00.000Z, 2020-01-08T03:11:00.000Z, Deep sleep, 51, 56, 48, 
2020-01-08T03:11:00.000Z, 2020-01-08T04:09:00.000Z, Light sleep, 60, 82, 46, 
2020-01-08T04:09:00.000Z, 2020-01-08T04:44:00.000Z, Deep sleep, 54, 59, 52, 
2020-01-08T04:44:00.000Z, 2020-01-08T04:50:00.000Z, Light sleep, 55, 56, 54, 
2020-01-08T04:50:00.000Z, 2020-01-08T05:20:00.000Z, Deep sleep, 56, 60, 55, 
2020-01-08T05:20:00.000Z, 2020-01-08T05:41:00.000Z, Light sleep, 68, 76, 55, 
2020-01-08T05:41:00.000Z, 2020-01-08T06:02:00.000Z, Deep sleep, 55, 59, 52, 
2020-01-08T06:02:00.000Z, 2020-01-08T06:15:00.000Z, Light sleep, 65, 75, 55, 
2020-01-08T06:15:00.000Z, 2020-01-08T06:35:00.000Z, Deep sleep, 53, 55, 49, 
2020-01-08T06:35:00.000Z, 2020-01-08T08:55:00.000Z, Light sleep, 62, 80, 48, 
2020-01-12T23:19:00.000Z, 2020-01-12T23:42:00.000Z, Light sleep, 63, 78, 53, 
2020-01-12T23:42:00.000Z, 2020-01-12T23:43:00.000Z, Light sleep, 55, 55, 55, 
2020-02-10T00:03:00.000Z, 2020-02-10T00:53:00.000Z, Light sleep, 68, 80, 55, 
2020-02-10T00:53:00.000Z, 2020-02-10T01:04:00.000Z, Deep sleep, 58, 61, 55, 
2020-02-10T01:04:00.000Z, 2020-02-10T02:24:00.000Z, Light sleep, 63, 79, 55, 
2020-02-10T02:24:00.000Z, 2020-02-10T02:54:00.000Z, Deep sleep, 57, 63, 55, 
2020-02-10T02:54:00.000Z, 2020-02-10T03:42:00.000Z, Light sleep, 61, 78, 52, 
2020-02-10T03:42:00.000Z, 2020-02-10T04:14:00.000Z, Deep sleep, 54, 57, 48, 
2020-02-10T04:14:00.000Z, 2020-02-10T04:27:00.000Z, Light sleep, 70, 77, 55, 
2020-02-10T04:27:00.000Z, 2020-02-10T05:03:00.000Z, Deep sleep, 56, 63, 54, 
2020-02-10T05:03:00.000Z, 2020-02-10T05:38:00.000Z, Light sleep, 62, 77, 55, 
2020-02-10T05:38:00.000Z, 2020-02-10T06:13:00.000Z, Deep sleep, 57, 64, 54, 
2020-02-10T06:13:00.000Z, 2020-02-10T08:15:00.000Z, Light sleep, 62, 81, 48, 
