Begin,End,Activity,HRmean,HRmax,HRmin
2022-01-30T00:16:00.000Z, 2022-01-30T00:59:00.000Z, Light sleep, 58, 79, 48, 
2022-01-30T00:59:00.000Z, 2022-01-30T01:08:00.000Z, Deep sleep, 51, 54, 49, 
2022-01-30T01:08:00.000Z, 2022-01-30T01:19:00.000Z, Light sleep, 52, 55, 50, 
2022-01-30T01:19:00.000Z, 2022-01-30T01:30:00.000Z, Deep sleep, 54, 56, 53, 
2022-01-30T01:30:00.000Z, 2022-01-30T01:58:00.000Z, Light sleep, 64, 75, 48, 
2022-01-30T01:58:00.000Z, 2022-01-30T02:23:00.000Z, Deep sleep, 52, 56, 48, 
2022-01-30T02:23:00.000Z, 2022-01-30T02:37:00.000Z, Light sleep, 56, 78, 48, 
2022-01-30T02:37:00.000Z, 2022-01-30T03:16:00.000Z, Deep sleep, 50, 55, 47, 
2022-01-30T03:16:00.000Z, 2022-01-30T03:46:00.000Z, Light sleep, 62, 75, 49, 
2022-01-30T03:46:00.000Z, 2022-01-30T03:55:00.000Z, Deep sleep, 49, 51, 48, 
2022-01-30T03:55:00.000Z, 2022-01-30T04:10:00.000Z, Light sleep, 58, 94, 48, 
2022-01-30T04:10:00.000Z, 2022-01-30T04:42:00.000Z, Deep sleep, 49, 55, 47, 
2022-01-30T04:42:00.000Z, 2022-01-30T05:13:00.000Z, Light sleep, 56, 92, 48, 
2022-01-30T05:13:00.000Z, 2022-01-30T05:57:00.000Z, Deep sleep, 50, 55, 48, 
2022-01-30T05:57:00.000Z, 2022-01-30T07:08:00.000Z, Light sleep, 55, 84, 47, 
2022-01-30T07:08:00.000Z, 2022-01-30T07:20:00.000Z, Deep sleep, 50, 55, 47, 
2022-01-30T07:20:00.000Z, 2022-01-30T07:56:00.000Z, Light sleep, 52, 71, 47, 
2022-01-30T07:56:00.000Z, 2022-01-30T08:09:00.000Z, Deep sleep, 48, 51, 47, 
2022-01-30T08:09:00.000Z, 2022-01-30T08:57:00.000Z, Light sleep, 56, 94, 48, 
2022-01-31T00:17:00.000Z, 2022-01-31T00:50:00.000Z, Light sleep, 56, 59, 47, 
2022-01-31T00:50:00.000Z, 2022-01-31T01:23:00.000Z, Deep sleep, 49, 53, 48, 
2022-01-31T01:23:00.000Z, 2022-01-31T02:21:00.000Z, Light sleep, 57, 81, 47, 
2022-01-31T02:21:00.000Z, 2022-01-31T02:55:00.000Z, Deep sleep, 52, 54, 49, 
2022-01-31T02:55:00.000Z, 2022-01-31T03:11:00.000Z, Light sleep, 54, 75, 48, 
2022-01-31T03:11:00.000Z, 2022-01-31T03:31:00.000Z, Deep sleep, 49, 55, 47, 
2022-01-31T03:31:00.000Z, 2022-01-31T04:37:00.000Z, Light sleep, 62, 75, 47, 
2022-01-31T04:37:00.000Z, 2022-01-31T05:28:00.000Z, Deep sleep, 50, 59, 47, 
2022-01-31T05:28:00.000Z, 2022-01-31T06:30:00.000Z, Light sleep, 53, 78, 47, 
2022-01-31T06:30:00.000Z, 2022-01-31T06:41:00.000Z, Deep sleep, 49, 55, 48, 
2022-01-31T06:41:00.000Z, 2022-01-31T08:48:00.000Z, Light sleep, 57, 93, 47, 
2022-01-31T08:48:00.000Z, 2022-01-31T08:58:00.000Z, Deep sleep, 53, 55, 51, 
2022-01-31T08:58:00.000Z, 2022-01-31T09:21:00.000Z, Light sleep, 67, 73, 49, 
2022-02-01T03:53:00.000Z, 2022-02-01T04:42:00.000Z, Light sleep, 59, 85, 53, 
2022-02-01T04:42:00.000Z, 2022-02-01T05:01:00.000Z, Deep sleep, 57, 59, 55, 
2022-02-01T05:01:00.000Z, 2022-02-01T05:51:00.000Z, Light sleep, 58, 79, 48, 
2022-02-01T05:51:00.000Z, 2022-02-01T06:26:00.000Z, Deep sleep, 55, 57, 53, 
2022-02-01T06:26:00.000Z, 2022-02-01T08:00:00.000Z, Light sleep, 60, 83, 48, 
2022-02-03T00:07:00.000Z, 2022-02-03T00:20:00.000Z, Light sleep, 64, 74, 55, 
2022-02-03T00:20:00.000Z, 2022-02-03T00:50:00.000Z, Deep sleep, 53, 59, 47, 
