HRmean,HRmax,HRmin,HalfHourBeforeSleep,DeepSleepBegin,LightSleep,DeepSleep
74,94,56,2020-01-12T22:49:00.000Z,null,24,0
60,81,48,2020-02-16T23:56:00.000Z,2020-02-17T00:26:00.000Z,234,113
78,109,61,2020-05-05T00:03:00.000+01:00,null,85,0
82,102,71,2020-05-10T23:57:00.000+01:00,2020-05-11T04:04:00.000+01:00,434,35
77,101,70,2020-05-12T23:33:00.000+01:00,null,24,0
76,104,55,2020-05-13T23:58:00.000+01:00,2020-05-14T04:09:00.000+01:00,432,101
76,76,76,2020-05-26T04:56:00.000+01:00,2020-05-26T06:24:00.000+01:00,146,26
80,101,75,2020-05-29T00:05:00.000+01:00,2020-05-29T01:41:00.000+01:00,385,71
55,55,55,2020-06-05T03:30:00.000+01:00,null,45,0
86,86,86,2020-06-08T00:35:00.000+01:00,2020-06-08T01:27:00.000+01:00,299,135
74,102,60,2020-06-16T00:12:00.000+01:00,2020-06-16T01:51:00.000+01:00,319,148
65,65,65,2020-06-18T06:00:00.000+01:00,2020-06-18T08:46:00.000+01:00,152,19
70,72,68,2020-06-19T01:09:00.000+01:00,2020-06-19T01:39:00.000+01:00,295,176
50,52,48,2020-07-17T03:32:00.000+01:00,2020-07-17T04:43:00.000+01:00,141,108
84,107,55,2020-07-30T00:52:00.000+01:00,2020-07-30T01:33:00.000+01:00,217,238
84,108,55,2020-08-09T22:32:00.000+01:00,null,51,0
63,71,55,2020-08-18T04:21:00.000+01:00,2020-08-18T04:51:00.000+01:00,0,14
51,55,48,2020-09-01T09:40:00.000+01:00,null,32,0
69,94,48,2020-09-24T01:55:00.000+01:00,2020-09-24T03:18:00.000+01:00,167,16
53,55,52,2020-09-27T04:20:00.000+01:00,2020-09-27T07:49:00.000+01:00,194,26
79,94,71,2020-10-05T00:34:00.000+01:00,2020-10-05T01:33:00.000+01:00,316,190
64,64,64,2020-10-11T01:42:00.000+01:00,2020-10-11T02:12:00.000+01:00,10,40
63,76,49,2020-10-15T22:56:00.000+01:00,null,9,0
65,92,53,2020-10-18T04:22:00.000+01:00,2020-10-18T04:52:00.000+01:00,81,65
77,95,58,2020-10-21T23:09:00.000+01:00,null,3,0
89,107,64,2020-10-28T22:19:00.000Z,2020-10-28T23:13:00.000Z,42,14
55,55,55,2020-10-29T02:07:00.000Z,2020-10-29T02:37:00.000Z,0,18
72,87,63,2020-11-24T21:10:00.000Z,2020-11-24T22:56:00.000Z,103,34
82,93,64,2020-12-01T22:18:00.000Z,2020-12-02T01:07:00.000Z,344,203
77,104,57,2020-12-09T22:56:00.000Z,null,27,0
74,83,57,2021-01-12T22:59:00.000Z,2021-01-12T23:38:00.000Z,18,12
55,55,55,2021-01-15T05:22:00.000Z,null,64,0
53,54,53,2021-01-18T05:22:00.000Z,null,116,0
76,101,55,2021-01-22T22:46:00.000Z,null,37,0
71,95,55,2021-01-28T23:00:00.000Z,null,28,0
48,48,48,2021-02-03T04:29:00.000Z,2021-02-03T04:59:00.000Z,84,12
62,76,48,2021-03-07T06:50:00.000Z,null,24,0
68,97,53,2021-03-09T23:19:00.000Z,null,10,0
71,97,53,2021-03-09T23:29:00.000Z,2021-03-10T01:34:00.000Z,324,126
64,91,49,2021-03-15T22:54:00.000Z,null,16,0
68,94,48,2021-03-16T23:14:00.000Z,null,12,0
54,60,48,2021-03-18T02:14:00.000Z,2021-03-18T04:05:00.000Z,252,15
69,80,54,2021-03-20T22:54:00.000Z,null,32,0
58,58,58,2021-03-20T23:26:00.000Z,2021-03-20T23:56:00.000Z,343,139
73,102,46,2021-03-23T23:19:00.000Z,null,9,0
64,65,63,2021-04-07T01:00:00.000+01:00,2021-04-07T01:30:00.000+01:00,0,34
80,110,55,2021-04-10T23:56:00.000+01:00,2021-04-11T01:01:00.000+01:00,323,201
70,76,56,2021-04-13T23:44:00.000+01:00,2021-04-14T00:14:00.000+01:00,124,100
100,192,71,2021-04-14T23:00:00.000+01:00,2021-04-15T00:15:00.000+01:00,408,158
82,109,55,2021-04-25T21:24:00.000+01:00,2021-04-25T23:27:00.000+01:00,93,15
61,83,49,2021-04-30T00:22:00.000+01:00,2021-04-30T00:52:00.000+01:00,242,169
49,55,48,2021-05-02T05:17:00.000+01:00,2021-05-02T06:58:00.000+01:00,69,55
72,77,66,2021-05-09T22:40:00.000+01:00,null,40,0
77,105,75,2021-05-16T22:33:00.000+01:00,2021-05-16T23:47:00.000+01:00,44,11
75,93,64,2021-05-23T22:50:00.000+01:00,2021-05-24T00:03:00.000+01:00,330,217
64,83,55,2021-05-25T00:30:00.000+01:00,2021-05-25T01:13:00.000+01:00,276,189
